countryCode,bathingWaterIdentifier,groupIdentifier,nameText,specialisedZoneType,geographicalConstraint,lon,lat,bwProfileUrl,quality1990,quality1991,quality1992,quality1993,quality1994,quality1995,quality1996,quality1997,quality1998,quality1999,quality2000,quality2001,quality2002,quality2003,quality2004,quality2005,quality2006,quality2007,quality2008,quality2009,quality2010,quality2011,quality2012,quality2013,quality2014,quality2015,quality2016,quality2017,quality2018,monitoringCalendar2018,management2018,quality2019,monitoringCalendar2019,management2019,quality2020,monitoringCalendar2020,management2020,quality2021,monitoringCalendar2021,management2021
DE,DEMV_PR_2_0446,,"JABELER SEE, JABEL, SPORTPLATZ",lakeBathingWater,FALSE,"12,5397","53,5301",https://www.regierung-mv.de/Landesregierung/wm/gesundheit/Badewasserqualitaet/badewasserkarte/,,,,,,,,,,,,,,,,,,,Excellent,Good or Sufficient,Excellent,Excellent,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DE,DEMV_PR_2_0450,,"KÖLPINSEE, KLINK",lakeBathingWater,FALSE,"12,6126","53,4831",https://www.regierung-mv.de/Landesregierung/wm/gesundheit/Badewasserqualitaet/badewasserkarte/,,,Not classified,Not classified,Not classified,Not classified,Good or Sufficient,Excellent,,,,,,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Good,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored
DE,DEMV_PR_2_0467,,"MÜRITZ, KLEINE MÜRITZ RECHLIN",lakeBathingWater,FALSE,"12,7172","53,3311",https://www.regierung-mv.de/Landesregierung/wm/gesundheit/Badewasserqualitaet/badewasserkarte/,,,,,,,,,,,,,,,,,,,Good or Sufficient,Good or Sufficient,Good or Sufficient,Good,Not classified,Good,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored,Sufficient,1 - Implemented,1 - Continuously monitored,Poor,1 - Implemented,1 - Continuously monitored
DE,DEMV_PR_2_0482,,"MÜRITZ, MÜRITZSTRAND AM HAFENDORF RECHLIN",lakeBathingWater,FALSE,"12,728","53,3545",https://www.regierung-mv.de/Landesregierung/wm/gesundheit/Badewasserqualitaet/badewasserkarte/,,,,,,,,,,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DE,DENI_PR_TK25_2119_01,,BADESEE SOMMERCAMP OTTERNDORF,lakeBathingWater,FALSE,"8,8394","53,83",http://www.badegewaesser.niedersachsen.de/index.php?p=bx&b=DENI_PR_TK25_2119_01,,Poor,Poor,Poor,Good or Sufficient,Excellent,Good or Sufficient,Not classified,Good or Sufficient,Good or Sufficient,Excellent,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DE,DENI_PR_TK25_2210_01,,NORDSEESTRAND BALTRUM,coastalBathingWater,FALSE,"7,3808","53,7342",http://www.badegewaesser.niedersachsen.de/index.php?p=bx&b=DENI_PR_TK25_2210_01,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DE,DENI_PR_TK25_2307_02,,NORDSEESTRAND WESTBAD - JUIST,coastalBathingWater,FALSE,"6,961","53,6798",http://www.badegewaesser.niedersachsen.de/index.php?p=bx&b=DENI_PR_TK25_2307_02,,Excellent,Excellent,Excellent,Excellent,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DE,DENI_PR_TK25_2308_02,,NORDSEESTRAND NORDDEICH,coastalBathingWater,FALSE,"7,1494","53,6176",http://www.badegewaesser.niedersachsen.de/index.php?p=bx&b=DENI_PR_TK25_2308_02,,Excellent,Poor,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Excellent,Good,Excellent,Good,Good,Good,Good,Good,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DE,DENI_PR_TK25_2313_03,,BADESTELLE BUHL ACTIVITY,lakeBathingWater,FALSE,"7,9277","53,6719",http://www.badegewaesser.niedersachsen.de/index.php?p=bx&b=DENI_PR_TK25_2313_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not classified,1 - Implemented,2 - Newly identified,Excellent,1 - Implemented,2 - Newly identified,Excellent,1 - Implemented,2 - Newly identified
DE,DENI_PR_TK25_2314_02,,NORDSEESTRAND HOOKSIEL HUNDESTRAND,coastalBathingWater,FALSE,"8,0649","53,6442",http://www.badegewaesser.niedersachsen.de/index.php?p=bx&b=DENI_PR_TK25_2314_02,,Poor,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
